taxon.name	variable	type	covariate	posterior.prob.neg.slope	standard.linear.model	in.95CI	mean	median	sd	mad	q2.5	q97.5	rhat	ess bulk	ess tail
Camassia scilloides	slope	duration (D)	Latitude	0			2.39740858675	2.394105	0.484393871576492	0.479828664	1.43243325	3.34614375	1.0006534753195	3292.40259615121	2578.01482179675
Camassia scilloides	slope	duration (D)	Elevation	0			0.045821384275	0.0457815	0.00574078339352854	0.00573832916999999	0.0347115825	0.0574120025	1.00195144901444	3897.19531930664	3114.09570721023
Camassia scilloides	slope	duration (D)	Year	0.00025			0.0515758844115	0.05142055	0.0161364881539461	0.01587019518	0.02049753	0.083699345	1.00003414829483	3955.86488067194	3092.4107522209
Camassia scilloides	slope	duration (D)	AnnualMonthlyAverageTemp	0.777			-0.654766380190125	-0.669828	0.868644891493259	0.88817547399	-2.2829115	1.1061235	1.00146790528047	2152.1397339479	2410.96166079188
Camassia scilloides	slope	duration (D)	FirstQuarterMonthlyAverageTemp	0.00275			1.14765540906125	1.150425	0.398731570640191	0.3921499239	0.361304675	1.9299305	1.00161977003852	2738.31986165547	2824.22821792399
Camassia scilloides	slope	cessation (C)	SpringMonthlyAverageTemp	1			-3.133354178	-3.12087	0.718198401521924	0.716347842	-4.53882075	-1.7265435	1.00074070354972	5372.58992928853	3161.41948872108
Camassia scilloides	slope	cessation (C)	Latitude	0.0235			1.51769574130853	1.516545	0.781329106396287	0.7982548203	0.019078805	3.012458	1.00075848076011	4590.69591667624	3374.85963602025
Camassia scilloides	slope	cessation (C)	Elevation	0			0.0557853246	0.0555768	0.00848973899558597	0.00863080764	0.0397553625	0.0720242275	1.0006856220639	5387.39653281786	3163.76974874301
Camassia scilloides	slope	cessation (C)	Year	0.99425			-0.067496612442825	-0.0674149	0.0257460487157156	0.02518900335	-0.119818475	-0.0165488975	1.00033840543311	5072.07177544526	3229.76804518203
Camassia scilloides	slope	cessation (C)	AnnualMonthlyAverageTemp	0.23			0.89876253991125	0.882142	1.23309900481501	1.21791134787	-1.45389225	3.3356785	1.00057332310129	3433.07758473956	2977.58222173338
Camassia scilloides	slope	cessation (C)	FirstQuarterMonthlyAverageTemp	0.62525			-0.1836860236265	-0.1879365	0.577322774794763	0.5804104719	-1.303898	0.92342995	1.00103140313911	4201.74901695634	3158.51732508119
Camassia scilloides	slope	observed times (T)	SpringMonthlyAverageTemp	1	-3.30683863205884	TRUE	-3.6270712275	-3.62026	0.656843793966828	0.653722818	-4.89164925	-2.33123175	1.00069669106231	4917.04961697324	3349.51163737601
Camassia scilloides	slope	observed times (T)	Latitude	0.33175	0.698271570676164	TRUE	0.31899142861125	0.32582	0.723586751794445	0.726459174	-1.106465	1.735433	1.00025491487301	3987.95747664739	3127.82615940776
Camassia scilloides	slope	observed times (T)	Elevation	0	0.0352673269435442	TRUE	0.0328746323825	0.0327268	0.00756055155085141	0.00766118724	0.018232195	0.0475482125	1.00159464834148	5345.05363150634	2840.96749419556
Camassia scilloides	slope	observed times (T)	Year	1	-0.0705086893161737	TRUE	-0.09328455301	-0.09344255	0.0236430533186018	0.02371856067	-0.1397007	-0.0472238	1.00016358047738	4487.54010976267	2884.20465848648
Camassia scilloides	slope	observed times (T)	AnnualMonthlyAverageTemp	0.136	1.49924086732193	TRUE	1.22614566105975	1.235505	1.11012654551017	1.1118736461	-0.941773975	3.39578725	1.00071120353126	2952.22081891568	3083.59440616385
Camassia scilloides	slope	observed times (T)	FirstQuarterMonthlyAverageTemp	0.92725	-0.960581862805221	TRUE	-0.7575136918975	-0.762762	0.51833296347603	0.5014768479	-1.7809395	0.262527375	1.00163260957958	3645.28204912474	2951.83341537908
Camassia scilloides	slope	first onset (Ok1): N=500	SpringMonthlyAverageTemp	1			-4.12078818	-4.11409	0.679188212279897	0.700758303	-5.4307955	-2.805965	1.00000269035776	4203.71858709061	3120.40861804753
